歯牙障害特徴順位,品詞,基本形,All出現回数,All出現事例数,All事例出現率(%),歯牙障害出現回数,歯牙障害出現事例数,歯牙障害事例出現率(%),出現率差_歯牙障害-All,出現率倍率_歯牙障害_All
1,名詞,前歯,795,750,9.7631,764.0,721.0,45.5464,35.7833,4.6652
2,名詞,歯,544,498,6.4827,489.0,444.0,28.048,21.5653,4.3266
3,名詞,顔面,1087,1039,13.5251,501.0,489.0,30.8907,17.3656,2.284
4,名詞,口,508,490,6.3785,366.0,359.0,22.6785,16.3,3.5555
5,名詞,歯科,204,204,2.6556,197.0,197.0,12.4447,9.7891,4.6862
6,名詞,補綴,202,201,2.6165,196.0,195.0,12.3184,9.7019,4.708
7,動詞,加える,213,212,2.7597,198.0,197.0,12.4447,9.685,4.5094
8,名詞,折,204,203,2.6425,184.0,183.0,11.5603,8.9178,4.3748
9,名詞,転倒,1299,1254,16.3239,409.0,398.0,25.1421,8.8182,1.5402
10,動詞,破る,180,179,2.3301,176.0,175.0,11.055,8.7249,4.7444
11,名詞,強打,817,810,10.5441,303.0,302.0,19.0777,8.5336,1.8093
12,名詞,自転車,540,393,5.1159,293.0,216.0,13.645,8.5291,2.6672
13,名詞,本,504,397,5.1679,255.0,215.0,13.5818,8.4139,2.6281
14,動詞,折れる,185,176,2.2911,154.0,152.0,9.602,7.3109,4.191
15,名詞,床,508,465,6.0531,206.0,189.0,11.9394,5.8863,1.9724
16,名詞,顔,477,451,5.8709,189.0,183.0,11.5603,5.6894,1.9691
17,名詞,バット,256,208,2.7076,141.0,113.0,7.1383,4.4307,2.6364
18,名詞,ボール,2127,1623,21.1273,506.0,402.0,25.3948,4.2675,1.202
19,名詞,口元,92,91,1.1846,86.0,85.0,5.3696,4.185,4.5328
20,名詞,脱臼,131,131,1.7053,89.0,89.0,5.6222,3.9169,3.2969
21,名詞,ノック,209,189,2.4603,108.0,100.0,6.3171,3.8568,2.5676
22,名詞,野球,716,702,9.1382,209.0,205.0,12.9501,3.8119,1.4171
23,動詞,当たる,1787,1708,22.2338,427.0,410.0,25.9002,3.6664,1.1649
24,動詞,抜ける,118,115,1.497,78.0,77.0,4.8642,3.3672,3.2493
25,名詞,下校,285,281,3.6579,109.0,108.0,6.8225,3.1646,1.8651
26,動詞,する,15485,6712,87.3731,3278.0,1428.0,90.2085,2.8354,1.0325
27,名詞,前方,214,211,2.7467,87.0,87.0,5.4959,2.7492,2.0009
28,名詞,守備,180,173,2.252,80.0,79.0,4.9905,2.7385,2.216
29,名詞,登校,248,234,3.0461,93.0,90.0,5.6854,2.6393,1.8665
30,名詞,前,628,588,7.6543,176.0,162.0,10.2337,2.5794,1.337
31,名詞,道路,187,172,2.239,83.0,75.0,4.7378,2.4988,2.116
